useID,ChipName,Capacity,EraseTime,PageSize,MemoryType,ChipType,ManufName,BlockSize,OTPSize,OTPAddr,NOTE,Voltage,ChipID,ChipPara,ChipPara1,Para1Note,ParaNote,Adder
820,"ST25P10A",131072,20000,256,"SPI FLASH","SPI FLASH","ST",4096,0,0,"128KB","3300","202011",0,0,,,"YaoJie"
821,"ST25P16",2097152,40000,256,"SPI FLASH","SPI FLASH","ST",4096,0,0,"2MB","3300","202015",0,0,,,"YaoJie"
822,"ST25P20",262144,25000,256,"SPI FLASH","SPI FLASH","ST",4096,0,0,"256KB","3300","202012",0,0,,,"YaoJie"
823,"ST25P32",4194304,50000,256,"SPI FLASH","SPI FLASH","ST",4096,0,0,"4MB","3300","202016",0,0,,,"YaoJie"
824,"ST25P40",524288,30000,256,"SPI FLASH","SPI FLASH","ST",4096,0,0,"512KB","3300","202013",0,0,,,"YaoJie"
825,"ST25P64",8388608,60000,256,"SPI FLASH","SPI FLASH","ST",4096,0,0,"8MB","3300","202017",0,0,,,"YaoJie"
826,"ST25P80",1048576,35000,256,"SPI FLASH","SPI FLASH","ST",4096,0,0,"1MB","3300","202014",0,0,,,"YaoJie"
827,"X25010 ",128,100000,4,"EEPROM","25 EEPROM","XICOR",32,0,0,"128B","3300","000000",0,0,,,"YaoJie"
828,"X25043 ",512,100000,4,"EEPROM","25 EEPROM","XICOR",32,0,0,"512B","3300","000000",0,0,,,"YaoJie"
829,"X25045 ",512,100000,4,"EEPROM","25 EEPROM","XICOR",32,0,0,"512B","3300","000000",0,0,,,"YaoJie"
830,"X25F008",1024,100000,32,"EEPROM","25 EEPROM","XICOR",32,0,0,"1KB","3300","000000",0,1,,,"YaoJie"
831,"X25F016",2048,100000,32,"EEPROM","25 EEPROM","XICOR",32,0,0,"2KB","3300","000000",0,1,,,"YaoJie"
832,"X25F032",4096,100000,32,"EEPROM","25 EEPROM","XICOR",32,0,0,"4KB","3300","000000",0,1,,,"YaoJie"
833,"X25F064",8192,100000,32,"EEPROM","25 EEPROM","XICOR",32,0,0,"8KB","3300","000000",0,1,,,"YaoJie"
834,"X5043  ",512,100000,16,"EEPROM","25 EEPROM","XICOR",32,0,0,"512B","3300","000000",0,0,,,"YaoJie"
835,"X5045  ",512,100000,16,"EEPROM","25 EEPROM","XICOR",32,0,0,"512B","3300","000000",0,0,,,"YaoJie"
837,"24C01",128,100000,8,"EEPROM","24 EEPROM","24CXX",16,0,0,"128B","5000","000000",0,0,,,"YaoJie"
838,"24C02",256,100000,8,"EEPROM","24 EEPROM","24CXX",16,0,0,"256B","3300","000000",0,0,,,"YaoJie"
839,"24C04",512,100000,16,"EEPROM","24 EEPROM","24CXX",16,0,0,"512B","5000","000000",0,0,,,"YaoJie"
840,"24C08",1024,100000,16,"EEPROM","24 EEPROM","24CXX",16,0,0,"1KB","5000","000000",0,0,,,"YaoJie"
841,"24C16",2048,100000,16,"EEPROM","24 EEPROM","24CXX",16,0,0,"2KB","5000","000000",0,0,,,"YaoJie"
842,"24C32",4096,100000,32,"EEPROM","24 EEPROM","24CXX",16,0,0,"4KB","5000","000000",1,0,,,"YaoJie"
843,"24C64",8192,100000,32,"EEPROM","24 EEPROM","24CXX",16,0,0,"8KB","5000","000000",1,0,,,"YaoJie"
