type,manufacturer,name,chip_id,size,flash_page,chip_class,algo,delay,eeprom_extend,eeprom,unk2,eeprom_page,voltage
25_EEPROM,MICROCHIP,25LC640,0,8192,32,3,1,3000,0,0,0,4,2
25_EEPROM,MICROCHIP,25C640,0,8192,32,3,1,3000,0,0,0,4,2
25_EEPROM,MICROCHIP,25LC128,0,16384,32,3,1,3000,0,0,0,4,2
25_EEPROM,MICROCHIP,25C128,0,16384,32,3,1,3000,0,0,0,4,2
25_EEPROM,MICROCHIP,25LC256,0,32768,64,3,1,3000,0,0,0,4,2
25_EEPROM,MICROCHIP,25C256,0,32768,64,3,1,3000,0,0,0,4,2
25_EEPROM,MICROCHIP,25C512,0,65536,128,3,1,3000,0,0,0,4,2
25_EEPROM,MICROCHIP,25LC512,0,65536,128,3,1,3000,0,0,0,4,2
25_EEPROM,MICROCHIP,25LC1024,0,131072,256,3,1,0,0,0,0,4,2
25_EEPROM,CATALYST,CAT25C01,0,128,16,3,0,4000,0,0,0,4,2
25_EEPROM,CATALYST,CAT25C01P,0,128,16,3,0,4000,0,0,0,4,2
25_EEPROM,CATALYST,CAT25C01S,0,128,16,3,0,4000,0,0,0,4,2
25_EEPROM,CATALYST,CAT25C01U,0,128,16,3,0,4000,0,0,0,4,2
25_EEPROM,CATALYST,CAT25C02,0,256,16,3,0,4000,0,0,0,4,2
25_EEPROM,CATALYST,CAT25C02P,0,256,16,3,0,4000,0,0,0,4,2
25_EEPROM,CATALYST,CAT25C02S,0,256,16,3,0,4000,0,0,0,4,2
25_EEPROM,CATALYST,CAT25C04P,0,512,16,3,0,4000,0,0,0,4,2
25_EEPROM,CATALYST,CAT25C04S,0,512,16,3,0,4000,0,0,0,4,2
25_EEPROM,CATALYST,CAT25C04U,0,512,16,3,0,4000,0,0,0,4,2
25_EEPROM,CATALYST,CAT25C08,0,1024,32,3,0,4000,0,0,0,4,2
25_EEPROM,CATALYST,CAT25C08P,0,1024,32,3,0,4000,0,0,0,4,2
25_EEPROM,CATALYST,CAT25C08S,0,1024,32,3,0,4000,0,0,0,4,2
25_EEPROM,CATALYST,CAT25C08U,0,1024,32,3,0,4000,0,0,0,4,2
25_EEPROM,CATALYST,CAT25C16P,0,2048,32,3,0,4000,0,0,0,4,2
25_EEPROM,CATALYST,CAT25C16U,0,2048,32,3,0,4000,0,0,0,4,2
25_EEPROM,CATALYST,CAT25C16S,0,2048,32,3,0,4000,0,0,0,4,2
25_EEPROM,CATALYST,CAT25C11,0,128,16,3,0,4000,0,0,0,4,2
